timestamp_actual,operation,operationCount
2015-09-23 12:06:40.000,scroll_up,6
2015-09-23 12:06:40.000,scroll_down,8
2015-09-23 17:40:00.000,scroll_up,88
2015-09-23 17:40:00.000,scroll_down,668
2015-09-23 20:26:40.000,scroll_up,60
2015-09-23 20:26:40.000,scroll_down,1487
2015-09-23 23:13:20.000,scroll_up,47
2015-09-23 23:13:20.000,scroll_down,609
2015-09-24 02:00:00.000,select,4
2015-09-24 02:00:00.000,scroll_up,154
2015-09-24 02:00:00.000,target_clicked,9
2015-09-24 02:00:00.000,scroll_down,612
2015-09-24 04:46:40.000,scroll_down,948
2015-09-24 04:46:40.000,scroll_up,192
2015-09-24 04:46:40.000,select,1
2015-09-24 04:46:40.000,target_clicked,13
2015-09-24 07:33:20.000,target_clicked,8
2015-09-24 07:33:20.000,scroll_down,1320
2015-09-24 07:33:20.000,select,4
2015-09-24 07:33:20.000,scroll_up,138
2015-09-24 15:53:20.000,scroll_down,25
2015-09-24 15:53:20.000,scroll_up,1
2015-09-24 18:40:00.000,scroll_down,2823
2015-09-24 18:40:00.000,target_clicked,4
2015-09-24 18:40:00.000,scroll_up,307
2015-09-24 21:26:40.000,scroll_down,1510
2015-09-24 21:26:40.000,target_clicked,29
2015-09-24 21:26:40.000,select,3
2015-09-24 21:26:40.000,scroll_up,359
2015-09-25 05:46:40.000,scroll_down,1111
2015-09-25 05:46:40.000,target_clicked,2
2015-09-25 05:46:40.000,scroll_up,85
2015-09-25 19:40:00.000,scroll_down,260
2015-09-25 19:40:00.000,target_clicked,4
2015-09-25 19:40:00.000,scroll_up,45
2015-09-25 22:26:40.000,scroll_down,33
2015-09-25 22:26:40.000,target_clicked,2
2015-09-25 22:26:40.000,scroll_up,29
2015-09-26 01:13:20.000,target_clicked,2
2015-09-26 01:13:20.000,scroll_down,380
2015-09-26 04:00:00.000,scroll_up,22
2015-09-26 04:00:00.000,scroll_down,415
2015-09-26 17:53:20.000,select,2
2015-09-26 17:53:20.000,scroll_up,389
2015-09-26 17:53:20.000,target_clicked,16
2015-09-26 17:53:20.000,scroll_down,2211
2015-09-27 02:13:20.000,target_clicked,7
2015-09-27 02:13:20.000,select,2
2015-09-27 05:00:00.000,scroll_up,85
2015-09-27 05:00:00.000,target_clicked,8
2015-09-27 05:00:00.000,scroll_down,157
2015-09-27 07:46:40.000,target_clicked,1
2015-09-27 07:46:40.000,scroll_up,11
2015-09-27 07:46:40.000,scroll_down,64
2015-09-28 00:26:40.000,scroll_up,166
2015-09-28 00:26:40.000,select,1
2015-09-28 00:26:40.000,scroll_down,389
2015-09-28 00:26:40.000,target_clicked,21
